,lr,seed,model,split,device,epochs,min_lr,dataset,emb_dim,pooling,drop_out,max_time,tracking,drop_feat,batch_size,k_wl_turbo,num_layers,config_file,cross_val_id,do_drop_feat,lr_scheduler,node_encoder,use_tracking,virtual_node,cross_val_run,k_wl_set_based,num_mlp_layers,transform_k_wl,add_node_degree,sequential_k_wl,cross_validation,use_node_encoder,use_virtual_node,add_num_triangles,k_wl_pool_function,lr_schedule_patience,connected_k_wl_last_k,k_wl_compute_attributes,k_wl_separate_embedding,lr_scheduler_decay_rate,lr_scheduler_decay_steps,k_wl_turbo_max_group_size,filter_data_max_graph_size,Train/BatchLoss,Val/rocauc (ogb),Test/rocauc (ogb),_step,_runtime,Test/Loss,LearningRate,Epoch,Val/Loss,Train/Loss,_timestamp,Final/Train/Loss,Final/Test/rocauc (ogb),BestTest/Val/rocauc (ogb),_wandb,Final/Val/Loss,Final/Test/Loss,BestTest/Val/Loss,BestTest/Test/Loss,Final/Val/rocauc (ogb),BestTest/Test/rocauc (ogb),Val/accuracy,Final/Val/accuracy,Final/Test/accuracy,BestTest/Test/accuracy,Test/accuracy,BestTest/Val/accuracy
20,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,sum,0.0,12,1,0,20,1,4,,a2b24692-ab1e-476a-a447-f898e912f056,False,ReduceLROnPlateau,1,True,0,1,1,1,3,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.05230749770998955,0.7623670848099856,0.7334205643611195,31400.0,602.8340973854065,0.2695521387892465,0.001,100.0,0.2603075856828504,0.17282790319325067,1708248393.871843,0.17352575904253162,0.7334668423869567,0.7672225574163916,{'runtime': 601},0.25828232027677245,0.27060432351815206,0.2578793321524767,0.2578793321524767,0.77075632564942,0.7376851636377885,,,,,,
21,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,sum,0.0,12,1,0,20,1,4,,a2b24692-ab1e-476a-a447-f898e912f056,False,ReduceLROnPlateau,1,True,0,0,1,1,3,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.048799268901348114,0.7721278465326997,0.7362579619022149,31400.0,615.6947469711304,0.2653566417672361,0.001,100.0,0.2559548811805851,0.1694629572615987,1708247784.7493129,0.17229461603556562,0.7353570802203072,0.7694585422186954,{'runtime': 615},0.2633933393253272,0.27565773328145343,0.2573487416354289,0.2573487416354289,0.7756632335417758,0.7410452763779354,,,,,,
22,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,32,sum,0.0,12,1,0,4,1,6,,f9992c21-5c3d-4f9b-abb7-df59c4de4025,False,ReduceLROnPlateau,1,True,0,1,1,1,2,1,1,2,True,False,0,mode,10000,1,0,0,0.5,50,-1,70,0.15367791056632996,0.7721438344373809,0.7321877194517684,156200.0,1642.387330532074,0.28891363298559253,0.001,100.0,0.2809844064138511,0.1584002210692082,1708247160.4824266,0.17095426344412692,0.7426356071204733,0.7651825755481538,{'runtime': 1641},0.2619331810531604,0.27993811399210244,0.2807145858843039,0.2807145858843039,0.7779562887149131,0.7573818578583335,,,,,,
23,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,32,sum,0.0,12,1,0,4,1,6,,f9992c21-5c3d-4f9b-abb7-df59c4de4025,False,ReduceLROnPlateau,1,True,0,0,1,1,2,1,1,2,True,False,0,mode,10000,1,0,0,0.5,50,-1,70,0.1844484508037567,0.7270481711742166,0.7203512866848797,156200.0,1654.8209507465365,0.30852575549700606,0.001,100.0,0.30923321469651893,0.1570150985029484,1708245512.4147546,0.1901101072792421,0.7102218430223427,0.751253761043213,{'runtime': 1654},0.2895120428597262,0.2929527134789775,0.3072781430366516,0.3072781430366516,0.7627381255332931,0.7383529035026775,,,,,,
24,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,sum,0.0,12,1,0,8,0,4,,471484b3-c9e6-4ea3-a7a9-18ea90414821,False,ReduceLROnPlateau,1,True,0,1,1,1,2,1,1,2,True,False,0,mode,10000,1,0,0,0.5,50,-1,70,0.1204814538359642,0.7593714563676229,0.7205329329693336,78200.0,768.1976706981659,0.273366453902175,0.001,100.0,0.2592845293856316,0.1805133482095753,1708243845.8642387,0.18231221166454573,0.7262452340447582,0.7660070327528925,{'runtime': 767},0.25320849566685394,0.27285321227585274,0.253089919695981,0.253089919695981,0.7706102503055065,0.727234129645689,,,,,,
25,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,8,sum,0.0,12,1,0,8,0,4,,471484b3-c9e6-4ea3-a7a9-18ea90414821,False,ReduceLROnPlateau,1,True,0,0,1,1,2,1,1,2,True,False,0,mode,10000,1,0,0,0.5,50,-1,70,0.14932739734649658,0.7680387264033998,0.7376146990301513,78200.0,765.7328259944916,0.2769549753672133,0.001,100.0,0.2569997501589754,0.17971815033739708,1708243069.599861,0.18332585197291823,0.7384891939078254,0.7689300041579471,{'runtime': 765},0.2513757752092741,0.2697351195383817,0.2573167795047222,0.2573167795047222,0.7738840742835299,0.7475946185859329,,,,,,
26,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.0,12,1,0,4,1,4,,98edab9f-faf3-4841-9f4e-8fafbffbc8fd,False,ReduceLROnPlateau,1,True,0,1,1,1,2,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.02591659873723984,0.6745215053806044,0.6343329621156039,156200.0,1585.053831100464,0.3118487188864189,0.001,100.0,0.2945958792332236,0.17139455419927788,1708242296.3843062,0.20220803629842105,0.7101862775036739,0.7583273409639407,{'runtime': 1583},0.2698846433780382,0.28319245904761675,0.2686355732545624,0.2686355732545624,0.7623274502487196,0.718168926000251,,,,,,
27,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.0,12,1,0,4,1,4,,98edab9f-faf3-4841-9f4e-8fafbffbc8fd,False,ReduceLROnPlateau,1,True,0,0,1,1,2,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.032952796667814255,0.7554858933710905,0.6994536077675276,156200.0,1587.9327909946442,0.3252163709063704,0.001,100.0,0.2919985542868671,0.17399542111377042,1708240705.305088,0.17449481391283192,0.7140810393236269,0.7606915190025093,{'runtime': 1587},0.2690131573245683,0.2983405389337956,0.2720926381193401,0.2720926381193401,0.7709543017263866,0.7268332912648142,,,,,,
28,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,64,mean,0.0,12,1,0,16,1,6,,45b582b7-869a-4aa4-92f2-a40ca6399c87,False,ReduceLROnPlateau,1,True,0,1,1,1,3,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.021376777440309525,0.7735436797256096,0.7330134217662239,39200.0,795.8845918178558,0.4038365039353569,0.001,100.0,0.37208972155236086,0.09262500387383402,1708239110.260934,0.14071072049758843,0.7489239202595178,0.7827547390822686,{'runtime': 794},0.2756300664829373,0.29905385586122674,0.2825206630849962,0.2825206630849962,0.7939496033605632,0.7550382855212553,,,,,,
29,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,64,mean,0.0,12,1,0,16,1,6,,45b582b7-869a-4aa4-92f2-a40ca6399c87,False,ReduceLROnPlateau,1,True,0,0,1,1,3,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.01961533911526203,0.7793145180709465,0.7517232832826605,39200.0,805.7465825080872,0.3716343954826395,0.001,100.0,0.357914545535848,0.09273289583828712,1708238308.2632606,0.13942260709339058,0.749571938166319,0.7765282337163898,{'runtime': 805},0.27010931685354306,0.293343720647196,0.339746342273731,0.339746342273731,0.7884264418594981,0.7631807801540269,,,,,,
