"Name","best_test_acc","best_val_acc","architecture","State","Notes","User","Tags","Created","Runtime","Sweep","cross_split_i","cross_valid_id","dataset","best_val_loss","epoch","test_acc (Max)","val_acc (Max)","val_loss (Min)"
"still-galaxy-344","0.797979797979798","0.7303370786516854","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T13:08:44.000Z","516","","0","2d9514eb-4686-4268-876c-4cd4d566a9ee","IMDB-BINARY","0.45744800299740906","100","0.8383838383838383","0.7528089887640449","0.45744800299740906"
"toasty-disco-335","0.797979797979798","0.6966292134831461","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T11:48:40.000Z","578","","1","154dbaf9-10ee-4bc9-9fdd-525e1b2c9494","IMDB-BINARY","0.5033188964543718","100","0.797979797979798","0.7303370786516854","0.5033188964543718"
"laced-feather-137","0.797979797979798","0.7303370786516854","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T13:43:14.000Z","50","","0","d59f8277-c18e-4d43-a831-736a408b6413","IMDB-BINARY","0.5392947464846494","100","0.797979797979798","0.7415730337078652","0.5392947464846494"
"atomic-totem-110","0.797979797979798","0.6853932584269663","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T13:20:16.000Z","50","","4","0916b662-1941-46a5-9cdf-65a0b0d903da","IMDB-BINARY","0.5918585637981972","100","0.797979797979798","0.7415730337078652","0.5918585637981972"
"iconic-night-287","0.797979797979798","0.797752808988764","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T04:43:53.000Z","519","","3","f832bbff-f1fd-47a5-8f10-7f4f3ce10ca4","IMDB-BINARY","0.47800084982025487","100","0.797979797979798","0.8089887640449438","0.47800084982025487"
"jumping-flower-187","0.797979797979798","0.7865168539325843","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T14:37:38.000Z","72","","9","e1a47fe5-0333-4160-bf03-66b11d43d8ba","IMDB-BINARY","0.386189707209555","100","0.797979797979798","0.8202247191011236","0.386189707209555"
"earnest-feather-454","0.7878787878787878","0.7865168539325843","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-07T05:25:44.000Z","521","","0","2601569f-32c3-4977-acc0-3a44e4d08157","IMDB-BINARY","0.4782833945885133","100","0.797979797979798","0.7865168539325843","0.4782833945885133"
"upbeat-elevator-173","0.7878787878787878","0.7528089887640449","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T14:18:48.000Z","70","","5","0fcdb735-1fae-4617-8234-e4a228fdbf5a","IMDB-BINARY","0.4808593921447068","100","0.7878787878787878","0.7752808988764045","0.4808593921447068"
"soft-blaze-30","0.7878787878787878","0.7640449438202247","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T12:10:07.000Z","53","","6","9ca50095-cc42-49a8-8493-e16d5455160b","IMDB-BINARY","0.473509284887421","100","0.797979797979798","0.7640449438202247","0.473509284887421"
"avid-pine-296","0.7878787878787878","0.6966292134831461","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T06:02:20.000Z","526","","2","4b287440-103c-4e7e-a30c-fb516a02a759","IMDB-BINARY","0.4426205185022247","100","0.8181818181818182","0.8089887640449438","0.4426205185022247"
"golden-leaf-323","0.7878787878787878","0.6853932584269663","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T09:57:58.000Z","516","","9","9191bf3a-df0c-4921-9c98-b2623e2b9aa4","IMDB-BINARY","0.5273068942380755","100","0.7878787878787878","0.7640449438202247","0.5273068942380755"
